What is your age group?,"What is your current year of study?
","How well do you understand what mental health means?
",What do you think mental health is related to?,"Do you think mental health is as important as physical health?
","Do you think anyone can experience mental-health difficulties?
","Do you know where a student can get help if they are facing emotional or mental difficulties?
","If you are feeling emotionally upset or stressed, would you talk to someone?
","Who would you feel comfortable talking to when you have a problem?
","What makes it difficult for students to talk about their mental health?
","Do you think students need more mental-health awareness in college/school?
",How often do you feel overwhelmed by your daily responsibilities?,"How often do you feel emotionally tired?
","How supported do you feel by the people around you?
","What usually helps you when you are having a difficult day?
","How much academic pressure do you usually feel?
","How many hours do you usually sleep per night?
","Approximately how much screen time do you have per day?
","How often do you participate in physical activity or exercise?
","In your own words, what does good mental health mean to you?
","What do you wish parents or teachers understood better about students' mental health?
","What do you think students need to improve mental-health awareness?
"
19-21,Third Year,5,Emotions;Thoughts and feelings;Relationships with others,Yes,Yes,No,No,No one,Fear of being judged;Family may not understand;Don't know whom to talk to,Yes,2,3,2,Listening to music;Rest/sleep;Spending time with friends/family,5,6–7 hours,4–6 hours,Never,the stress get from study,yes,yes they need it
22-24,Third Year,4,Thoughts and feelings;How we handle problems;Relationships with others,Yes,Yes,Yes,Yes,Parents/Family;Friend,Fear of being judged;Family may not understand;Nothing makes it difficult,Yes,4,2,3,Talking to someone;Taking a break;Listening to music,5,5–6 hours,6–8 hours,Rarely,,,
19-21,Third Year,4,Emotions;Thoughts and feelings;Relationships with others,Yes,Yes,No,No,Friend,Family may not understand;I don't think it is important,Yes,3,2,3,Talking to someone;Listening to music;Hobbies;Rest/sleep,3,5–6 hours,Less than 2 hours,Rarely,Keep smile ,Talk with suspect ,Yes
19-21,Third Year,4,How we handle problems,Yes,No,No,Yes,No one,Fear of being judged,Yes,3,3,2,Listening to music,3,5–6 hours,6–8 hours,Rarely,Listening music and ignoring bad people ,To solve our problem and quarries ,Yes
22-24,Other,5,All of the above,Yes,No,No,Yes,Parents/Family,Fear of being judged,No,5,5,5,Listening to music,5,7–8 hours,2–4 hours,Never,Nothing ,Nothing ,Yes
19-21,Other,3,How we handle problems,Yes,Yes,No,No,No one,Fear of being judged;Family may not understand,Yes,3,3,3,Rest/sleep,3,6–7 hours,4–6 hours,Never,,,
17 - 18,Third Year,5,How we handle problems,Yes,Yes,Yes,No,Parents/Family,Fear of being judged,Yes,4,3,1,Taking a break,5,7–8 hours,Less than 2 hours,Never,Understanding and solving problems easily ,No idea ,Yess 
19-21,Second Year,3,All of the above,Not sure,No,Yes,No,No one,Feeling shy or uncomfortable,Yes,1,1,5,Taking a break,1,More than 8 hours,4–6 hours,Rarely,,,
25-27,Other,5,Emotions;Thoughts and feelings;Relationships with others,Yes,Yes,Yes,No,No one;,Fear of being judged;Family may not understand;Don't know whom to talk to,Yes,5,5,1,Listening to music;Exercise;Rest/sleep;Spending time with friends/family,2,Less than 5 hours,More than 8 hours,5 or more days a week,Depression & Anxiety ,"Noo . 
Teachers do care only about academic career if a person and parents do care only for career , they won't understand what a person is going through ","Talk to self and get motivation through self. Be selfish and love yourself , always keep yourself as priority 
"
19-21,Third Year,3,All of the above,No,No,No,Yes,Parents/Family;Friend,Feeling shy or uncomfortable,No,3,3,3,Talking to someone,3,5–6 hours,Less than 2 hours,Never,.,.,.
